Date,AUDUSD=X_Open,CADUSD=X_Open,Oil_Open,EURUSD=X_Open,GBPUSD=X_Open,Gold_Open,JPY=X_Open,5Y Yield_Open,^GSPC_Open,10Y Yield_Open,^VIX_Open,AUDUSD=X_High,CADUSD=X_High,Oil_High,EURUSD=X_High,GBPUSD=X_High,Gold_High,JPY=X_High,5Y Yield_High,^GSPC_High,10Y Yield_High,^VIX_High,AUDUSD=X_Low,CADUSD=X_Low,Oil_Low,EURUSD=X_Low,GBPUSD=X_Low,Gold_Low,JPY=X_Low,5Y Yield_Low,^GSPC_Low,10Y Yield_Low,^VIX_Low,AUDUSD=X_Close,CADUSD=X_Close,Oil_Close,EURUSD=X_Close,GBPUSD=X_Close,Gold_Close,JPY=X_Close,5Y Yield_Close,^GSPC_Close,10Y Yield_Close,^VIX_Close
17 05 2006,0.766871154,0.903260767,69.34999847,1.285099268,1.886187315,690.5,109.7699966,5,1291.72998,5.118999958,13.82999992,0.772618413,0.907605767,70.09999847,1.291705966,1.901285172,690.5,111.2399979,5.06400013,1291.72998,5.18599987,16.26000023,0.75757575,0.895816565,68.19999695,1.270793319,1.878498793,690.5,109,4.993000031,1267.310059,5.112999916,13.39000034,0.759416759,0.89678055,68.69999695,1.274193764,1.882494688,690.5,110.9100037,5.026000023,1270.319946,5.152999878,16.26000023
18 05 2006,0.759416759,0.89678055,68.65000153,1.274307489,1.882317424,679.5999756,110.9199982,5.010000229,1270.25,5.143000126,15.53999996,0.767577469,0.900982082,69.5,1.287200093,1.896201968,679.5999756,111.2200012,5.011000156,1274.890015,5.143000126,17.09000015,0.758725345,0.891186178,67.84999847,1.273204088,1.881113648,679.5999756,110.3600006,4.949999809,1261.75,5.066999912,14.96000004,0.764000297,0.893176079,69.44999695,1.285099268,1.893293977,679.5999756,110.9000015,4.954999924,1261.810059,5.072999954,16.98999977
19 05 2006,0.763883591,0.8933357,69.44999695,1.284802079,1.89318645,679.5999756,110.9100037,4.96600008,1261.810059,5.073999882,16.15999985,0.76481837,0.896057308,69.93000031,1.286008239,1.895087957,679.5999756,112.1600037,4.977000237,1272.150024,5.085000038,18.01000023,0.753012061,0.887153983,68,1.27019608,1.87101233,679.5999756,110.4400024,4.925000191,1256.280029,5.024000168,15.89999962,0.757174194,0.894934654,68.52999878,1.276698947,1.880017281,656.7000122,111.6600037,4.959000111,1267.030029,5.053999901,17.18000031
22 05 2006,0.756887674,0.892777443,68.51999664,1.276796818,1.877299786,656.5,111.5999985,4.921000004,1267.030029,5.018000126,18.54999924,0.756887674,0.898795664,70,1.288195014,1.888395786,656.5,112.9199982,4.936999798,1268.77002,5.038000107,19.62000084,0.747104943,0.887626469,67.41999817,1.270292878,1.864697576,656.5,111.2900009,4.894000053,1252.97998,4.989999771,16.72999954,0.753409207,0.895495594,69.23000336,1.285297513,1.885085106,657,111.4599991,4.934000015,1262.069946,5.035999775,17.71999931
23 05 2006,0.752671957,0.895656049,70.05000305,1.284802079,1.884907603,673,111.4599991,4.962999821,1262.060059,5.065999985,16.70000076,0.759474456,0.898876429,72.15000153,1.287697434,1.887896538,673,112.3799973,4.980999947,1273.670044,5.084000111,18.26000023,0.749512792,0.888020635,68.94999695,1.277204514,1.875293136,673,110.9800034,4.954999924,1256.150024,5.056000233,15.35999966,0.750976324,0.889046967,71.76000214,1.278298378,1.877088308,673,112.1399994,4.967999935,1256.579956,5.065999985,18.26000023
24 05 2006,0.751314819,0.889205039,71.58000183,1.278494477,1.876982689,637,112.1299973,4.907000065,1256.560059,5.001999855,17.87000084,0.755914986,0.894054532,71.66000366,1.288792729,1.885582805,637,112.9400024,4.94299984,1264.530029,5.041999817,19.87000084,0.749906242,0.888651848,69.80000305,1.273593307,1.865915418,637,111.6399994,4.877999783,1245.339966,4.980000019,17.12999916,0.753125429,0.893016636,69.86000061,1.277400255,1.871292591,637,112.7399979,4.934000015,1258.569946,5.03399992,17.36000061
25 05 2006,0.753182173,0.893016636,69.91000366,1.277302384,1.87101233,648.2999878,112.7399979,4.946000099,1258.410034,5.053999901,16.67000008,0.762079,0.904486239,71.37999725,1.282396555,1.877405405,648.2999878,112.8399963,4.979000092,1273.26001,5.079999924,16.67000008,0.751484156,0.890709937,69.36000061,1.275054812,1.867483258,648.2999878,111.6299973,4.927999973,1258.410034,5.026000023,15.31000042,0.760919154,0.902934551,71.31999969,1.281000137,1.875609636,648.4000244,111.7600021,4.973999977,1272.880005,5.073999882,15.5
26 05 2006,0.760803461,0.90301615,71.30999756,1.28090167,1.875504017,648.4000244,111.75,4.96600008,1272.709961,5.073999882,14.92000008,0.760977089,0.905223191,71.90000153,1.282544613,1.875785351,648.4000244,112.75,4.986999989,1280.540039,5.096000195,15.03999996,0.75620085,0.900738597,70.86000061,1.270793319,1.853602529,648.4000244,111.4800034,4.929999828,1272.5,5.041999817,14.26000023,0.758092642,0.903505623,71.37000275,1.273901582,1.859703898,650.9000244,112.6500015,4.940999985,1280.160034,5.052000046,14.26000023
29 05 2006,0.757518411,0.905386984,,1.273998976,1.858597994,,112.4100037,,,,,0.759705186,0.906700492,,1.276894569,1.86438477,,112.6699982,,,,,0.757403612,0.90309757,,1.273706913,1.857113719,,112.1299973,,,,,0.759013295,0.904813588,,1.275103569,1.859911442,,112.5599976,,,,
30 05 2006,0.759186208,0.90473181,71.19999695,1.275201201,1.859496474,650.7000122,112.5500031,4.947999954,1280.040039,5.058000088,15.39000034,0.76452601,0.91116178,72.75,1.290505767,1.886009693,664.5,112.7600021,4.986000061,1280.040039,5.090000153,18.71999931,0.757288873,0.904404461,71.19999695,1.274794817,1.85839057,648.2000122,111.6299973,4.947999954,1259.869995,5.058000088,15.39000034,0.761788666,0.909752548,72.02999878,1.286504626,1.881715298,653.9000244,112.1500015,4.980000019,1259.869995,5.085999966,18.65999985
